State_Name,District_Name,Crop,Main_Season,Yield,Area,Production,Years_Grown,Suitability,state_enc,district_enc,crop_enc,season_enc
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,DRY CHILLIES,Whole Year,1.3706703745844415,282.86,466.8,5,86.18040222475067,0,559,37,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,DRY GINGER,Rabi,8.81404255319149,94.0,828.52,1,33.58842553191489,0,559,38,1
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,DRY GINGER,Whole Year,5.587683413029959,293.78000000000003,1321.24,5,91.98661004781798,0,559,38,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,GROUNDNUT,Rabi,0.49032258064516127,15.5,7.6,1,5.044193548387096,0,559,43,1
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,MAIZE,Rabi,3.4657534246575343,73.0,253.0,1,24.07945205479452,0,559,59,1
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,MOONG(GREEN GRAM),Rabi,0.596989966555184,29.9,17.85,1,9.42819397993311,0,559,63,1
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,OTHER OILSEEDS,Whole Year,0.5379581688351245,66.80799999999999,34.3,5,20.86517490130107,0,559,77,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,RICE,Kharif,2.785993988623254,7181.316666666667,20613.3,6,2156.6665963931737,0,559,98,0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,SUGARCANE,Kharif,5.955555555555556,67.5,402.0,1,23.923333333333336,0,559,109,0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,SUGARCANE,Whole Year,17.90628343701229,209.956,4329.444,5,74.23057006220736,0,559,109,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,SUNFLOWER,Rabi,0.5,1.0,0.5,1,0.7,0,559,110,1
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,SWEET POTATO,Rabi,7.34375,32.0,235.0,1,14.10625,0,559,111,1
